name,type
USDT,crypto
BTC,crypto
ETH,crypto
USDC,crypto
XRP,crypto
SOL,crypto
BNB,crypto
DOGE,crypto
ADA,crypto
TRX,crypto
^GSPC,index
^IXIC,index
^DJI,index
^N225,index
^FTSE,index
^GDAXI,index
^HSI,index
^NSEI,index
^STOXX50E,index
^FCHI,index
AAPL,stock
TSLA,stock
NVDA,stock
AMZN,stock
MSFT,stock
GOOG,stock
GOOGL,stock
META,stock
TSM,stock
AMD,stock
SHY,bond
BIL,bond
BLV,bond
TLT,bond
LQD,bond
HYG,bond
BND,bond
MUB,bond
EMB,bond
CBND,bond
VETA,bond
EUNH,bond
CL,commodity
NG,commodity
GC,commodity
ZS,commodity
ZC,commodity
ZW,commodity
HG,commodity
SI,commodity
ALI,commodity
LIT,commodity
NICKEL,commodity
COBALT,commodity
MNXXF,commodity
GPHOF,commodity
GBPUSD=X,currency
GBPEUR=X,currency
JPY=X,currency
EUR=X,currency
CNYUSD=X,currency
AUDUSD=X,currency
CADUSD=X,currency
CHFUSD=X,currency
HKDUSD=X,currency